"","mRS0","mRS1","mRS2","mRS3","mRS4","mRS5","mRS6","var","t"
"79",0.061317296208,0.095382460768,0.13775210776064,0.15481725867072,0.23812811727872,0.10151784423408,0.21108491507984,"no_mt",1
"80",0.0594874598133696,0.0925360485985749,0.133147999358895,0.147147941015831,0.224484134206173,0.093732016776583,0.249464400230574,"no_mt",2
"81",0.057496006211492,0.0894382318845431,0.128155736596516,0.138970695344447,0.210055286530695,0.0856677320529293,0.290216311379377,"no_mt",3
"82",0.0553225928386666,0.0860573666379258,0.122729974716944,0.130250304009349,0.194809862755862,0.0773452081890816,0.333484690852172,"no_mt",4
"83",0.0529997383486279,0.082444037431199,0.116958482073699,0.121171966750831,0.179105090309752,0.0689990614683788,0.378321623617512,"no_mt",5
"84",0.0504445122603772,0.0784692412939201,0.110643016774765,0.111474331343167,0.162525844712875,0.0604497347532822,0.425993318861614,"no_mt",6
"85",0.047720091573534,0.0742312535588307,0.103950302672109,0.101480242494792,0.14567258541882,0.0520592362376716,0.474886288044242,"no_mt",7
"86",0.0448050846789965,0.0696967983895501,0.0968384606855336,0.0911899456690652,0.12858749133097,0.043886467057819,0.524995752188065,"no_mt",8
"87",0.0417822571295688,0.0649946222015514,0.0895211420113291,0.0809772329808267,0.111930904181177,0.0362770775848815,0.574516763910665,"no_mt",9
"88",0.0386184555255657,0.0600731530397688,0.0819290584236366,0.0707986255397622,0.095657868181028,0.0292174342283275,0.623705405061911,"no_mt",10
"89",0.035338847451167,0.0549715404795931,0.0741364467921616,0.0608179494677769,0.0800605844423122,0.02284064232937,0.671833989037619,"no_mt",11
"90",0.0319472146424148,0.0496956672215342,0.0661674025757221,0.0511285623398794,0.0653077173009976,0.0172068882843043,0.718546547635148,"no_mt",12
"91",0.0285044590609859,0.0443402696504225,0.0581812923396629,0.0419822745880916,0.05179511719896,0.0124413863101512,0.762755200851726,"no_mt",13
"92",0.0250166843776217,0.0389148423651894,0.0502080125592065,0.0334550113454922,0.0396269360608558,0.00852903796803592,0.804249475323598,"no_mt",14
"93",0.0216004442845742,0.0336006911093376,0.0425289237696273,0.0258711932856956,0.0292370601952473,0.00553572720687386,0.841625960148644,"no_mt",15
"94",0.0182663191336638,0.0284142742079214,0.0351766506952879,0.0192422582584668,0.0205723479519848,0.00333975409820734,0.874988395654468,"no_mt",16
"95",0.0151375167476513,0.0235472482741242,0.0284282695704093,0.0137709495419191,0.0138066565774322,0.00186955988870158,0.903439799399762,"no_mt",17
"96",0.0122209635697852,0.0190103877752214,0.0222937054473977,0.00936654463533382,0.00869919610866682,0.000943822577982789,0.927465379885613,"no_mt",18
"97",0.00962906318176093,0.0149785427271837,0.0169981302592377,0.00606892658009701,0.00515683193170679,0.000429380667017618,0.946739124652996,"no_mt",19
"98",0.00738203969161561,0.0114831728536243,0.0125554735925109,0.00371797574048488,0.00284632230561226,0.000171867650761361,0.961843148165391,"no_mt",20
"99",0.00549251107204279,0.00854390611206656,0.00895608927630903,0.00213821346732959,0.00144750046926595,5.88088531608497e-05,0.973362970749825,"no_mt",21
"100",0.00397222296568238,0.00617901350217259,0.006179629451831,0.00115575521379114,0.000678237372743735,1.69747184618694e-05,0.981818166775317,"no_mt",22
"101",0.00275951977104041,0.00429258631050731,0.00406662038466504,0.000570028741112777,0.000280676304129258,3.65617884420868e-06,0.988026912309701,"no_mt",23
"102",0.00186699609717494,0.00290421615116102,0.00259350118308842,0.00026397966271889,0.000106377979611279,6.17066258000295e-07,0.992264311859988,"no_mt",24
"103",0.00120698340173842,0.00187752973603755,0.00156663618098954,0.000109066815213769,3.41738818330478e-05,5.64395263255731e-08,0.995205553544661,"no_mt",25
"104",0.000748425659430328,0.00116421769244718,0.000900015308627418,4.02818610003235e-05,9.2458336865237e-06,1.33221577764129e-09,0.997137812312593,"no_mt",26
